original_tract_id,geoid,city,income_bucket,original_description,counterfactual_description,original_race,counterfactual_race
3632,6085505202,San Jose,high,"Neighborhood 6085505202 is an urban neighborhood. The population is approximately 7,912 residents. The neighborhood is racially diverse with no single majority group — Asian (39.2%), White (34.8%), Hispanic (22.8%). The median household income is $121,944. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.","Neighborhood 6085505202 is an urban neighborhood. The population is approximately 7,912 residents. The neighborhood is racially diverse with no single majority group — Asian (39.2%), White (34.8%), Hispanic (22.8%). The median household income is $121,944. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.",asian,asian
3621,6085506204,San Jose,high,"Neighborhood 6085506204 is an urban neighborhood. The population is approximately 5,546 residents. Approximately 63.6% of residents identify as Asian. The median household income is $188,047. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085506204 is an urban neighborhood. The population is approximately 5,546 residents. Approximately 63.6% of residents identify as Asian. The median household income is $188,047. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3644,6085509106,San Jose,high,"Neighborhood 6085509106 is an urban neighborhood. The population is approximately 4,264 residents. The largest racial group is Asian at 40.9%, with a notable White population at 40.8%. The median household income is $142,727. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085509106 is an urban neighborhood. The population is approximately 4,264 residents. The largest racial group is Asian at 40.9%, with a notable White population at 40.8%. The median household income is $142,727. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1403,6037211802,Los Angeles,lower_middle,"Neighborhood 6037211802 is an urban neighborhood. The population is approximately 4,575 residents. The largest racial group is Asian at 43.0%, with a notable Hispanic population at 37.9%. The median household income is $50,090. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037211802 is an urban neighborhood. The population is approximately 4,575 residents. The largest racial group is Asian at 43.0%, with a notable Hispanic population at 37.9%. The median household income is $50,090. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2392,36047025000,New York,lower_middle,"Neighborhood 36047025000 is an urban neighborhood. The population is approximately 1,712 residents. Approximately 60.9% of residents identify as Asian. The median household income is $51,875. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 36047025000 is an urban neighborhood. The population is approximately 1,712 residents. Approximately 60.9% of residents identify as Asian. The median household income is $51,875. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3638,6085503126,San Jose,high,"Neighborhood 6085503126 is an urban neighborhood. The population is approximately 3,770 residents. The largest racial group is Asian at 47.7%, with a notable White population at 35.4%. The median household income is $136,865. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503126 is an urban neighborhood. The population is approximately 3,770 residents. The largest racial group is Asian at 47.7%, with a notable White population at 35.4%. The median household income is $136,865. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2625,6001443105,Oakland,high,"Neighborhood 6001443105 is an urban neighborhood. The population is approximately 4,668 residents. Approximately 84.7% of residents identify as Asian. The median household income is $225,795. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.","Neighborhood 6001443105 is an urban neighborhood. The population is approximately 4,668 residents. Approximately 84.7% of residents identify as Asian. The median household income is $225,795. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.",asian,asian
3663,6085505013,San Jose,high,"Neighborhood 6085505013 is an urban neighborhood. The population is approximately 5,965 residents. Approximately 65.4% of residents identify as Asian. The median household income is $185,227. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085505013 is an urban neighborhood. The population is approximately 5,965 residents. Approximately 65.4% of residents identify as Asian. The median household income is $185,227. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3665,6085506203,San Jose,high,"Neighborhood 6085506203 is an urban neighborhood. The population is approximately 6,127 residents. Approximately 63.2% of residents identify as Asian. The median household income is $130,735. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085506203 is an urban neighborhood. The population is approximately 6,127 residents. Approximately 63.2% of residents identify as Asian. The median household income is $130,735. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3649,6085504414,San Jose,high,"Neighborhood 6085504414 is an urban neighborhood. The population is approximately 5,296 residents. Approximately 81.7% of residents identify as Asian. The median household income is $167,772. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085504414 is an urban neighborhood. The population is approximately 5,296 residents. Approximately 81.7% of residents identify as Asian. The median household income is $167,772. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3602,6085508601,San Jose,high,"Neighborhood 6085508601 is an urban neighborhood. The population is approximately 3,892 residents. The largest racial group is Asian at 51.2%, with a notable White population at 32.4%. The median household income is $196,731. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085508601 is an urban neighborhood. The population is approximately 3,892 residents. The largest racial group is Asian at 51.2%, with a notable White population at 32.4%. The median household income is $196,731. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2631,6001442301,Oakland,high,"Neighborhood 6001442301 is an urban neighborhood. The population is approximately 5,397 residents. The largest racial group is Asian at 57.8%, with a notable White population at 28.1%. The median household income is $148,590. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001442301 is an urban neighborhood. The population is approximately 5,397 residents. The largest racial group is Asian at 57.8%, with a notable White population at 28.1%. The median household income is $148,590. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1415,6037408134,Los Angeles,high,"Neighborhood 6037408134 is an urban neighborhood. The population is approximately 2,823 residents. The largest racial group is Asian at 57.4%, with a notable Hispanic population at 30.1%. The median household income is $123,542. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037408134 is an urban neighborhood. The population is approximately 2,823 residents. The largest racial group is Asian at 57.4%, with a notable Hispanic population at 30.1%. The median household income is $123,542. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1410,6037554521,Los Angeles,upper_middle,"Neighborhood 6037554521 is an urban neighborhood. The population is approximately 6,149 residents. The largest racial group is Asian at 43.6%, with a notable White population at 25.6%. The median household income is $109,756. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037554521 is an urban neighborhood. The population is approximately 6,149 residents. The largest racial group is Asian at 43.6%, with a notable White population at 25.6%. The median household income is $109,756. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3629,6085503325,San Jose,high,"Neighborhood 6085503325 is an urban neighborhood. The population is approximately 4,391 residents. Approximately 65.1% of residents identify as Asian. The median household income is $172,955. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503325 is an urban neighborhood. The population is approximately 4,391 residents. Approximately 65.1% of residents identify as Asian. The median household income is $172,955. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1203,48201314402,Houston,middle,"Neighborhood 48201314402 is an urban neighborhood. The population is approximately 2,095 residents. The largest racial group is Asian at 43.5%, with a notable White population at 40.0%. The median household income is $72,708. The housing stock includes many vacant or abandoned properties. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 48201314402 is an urban neighborhood. The population is approximately 2,095 residents. The largest racial group is Asian at 43.5%, with a notable White population at 40.0%. The median household income is $72,708. The housing stock includes many vacant or abandoned properties. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2402,36081084601,New York,upper_middle,"Neighborhood 36081084601 is an urban neighborhood. The population is approximately 2,799 residents. The neighborhood is racially diverse with no single majority group — Asian (35.8%), Hispanic (34.9%), White (19.0%). The median household income is $89,107. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 36081084601 is an urban neighborhood. The population is approximately 2,799 residents. The neighborhood is racially diverse with no single majority group — Asian (35.8%), Hispanic (34.9%), White (19.0%). The median household income is $89,107. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3592,6085508305,San Jose,upper_middle,"Neighborhood 6085508305 is an urban neighborhood. The population is approximately 5,604 residents. The largest racial group is Asian at 56.4%, with a notable Hispanic population at 25.1%. The median household income is $113,040. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085508305 is an urban neighborhood. The population is approximately 5,604 residents. The largest racial group is Asian at 56.4%, with a notable Hispanic population at 25.1%. The median household income is $113,040. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3612,6085503338,San Jose,high,"Neighborhood 6085503338 is an urban neighborhood. The population is approximately 4,092 residents. Approximately 68.1% of residents identify as Asian. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503338 is an urban neighborhood. The population is approximately 4,092 residents. Approximately 68.1% of residents identify as Asian. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2620,6001444301,Oakland,high,"Neighborhood 6001444301 is an urban neighborhood. The population is approximately 3,698 residents. The neighborhood is racially diverse with no single majority group — Asian (35.3%), White (35.2%), Hispanic (25.9%). The median household income is $184,583. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001444301 is an urban neighborhood. The population is approximately 3,698 residents. The neighborhood is racially diverse with no single majority group — Asian (35.3%), White (35.2%), Hispanic (25.9%). The median household income is $184,583. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2596,6001405200,Oakland,upper_middle,"Neighborhood 6001405200 is an urban neighborhood. The population is approximately 4,913 residents. The neighborhood is racially diverse with no single majority group — Asian (39.5%), White (36.9%), Black (13.8%). The median household income is $105,222. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001405200 is an urban neighborhood. The population is approximately 4,913 residents. The neighborhood is racially diverse with no single majority group — Asian (39.5%), White (36.9%), Black (13.8%). The median household income is $105,222. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3657,6085508706,San Jose,high,"Neighborhood 6085508706 is an urban neighborhood. The population is approximately 4,079 residents. Approximately 62.2% of residents identify as Asian. The median household income is $198,250. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085508706 is an urban neighborhood. The population is approximately 4,079 residents. Approximately 62.2% of residents identify as Asian. The median household income is $198,250. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3625,6085511000,San Jose,high,"Neighborhood 6085511000 is an urban neighborhood. The population is approximately 7,208 residents. The largest racial group is Asian at 45.9%, with a notable White population at 41.4%. The median household income is $231,856. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085511000 is an urban neighborhood. The population is approximately 7,208 residents. The largest racial group is Asian at 45.9%, with a notable White population at 41.4%. The median household income is $231,856. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3606,6085505303,San Jose,high,"Neighborhood 6085505303 is an urban neighborhood. The population is approximately 5,986 residents. The largest racial group is Asian at 44.1%, with a notable Hispanic population at 25.5%. The median household income is $128,933. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085505303 is an urban neighborhood. The population is approximately 5,986 residents. The largest racial group is Asian at 44.1%, with a notable Hispanic population at 25.5%. The median household income is $128,933. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2624,6001450502,Oakland,high,"Neighborhood 6001450502 is an urban neighborhood. The population is approximately 6,266 residents. The largest racial group is Asian at 45.1%, with a notable White population at 42.7%. The median household income is $202,003. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001450502 is an urban neighborhood. The population is approximately 6,266 residents. The largest racial group is Asian at 45.1%, with a notable White population at 42.7%. The median household income is $202,003. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2611,6001441523,Oakland,high,"Neighborhood 6001441523 is an urban neighborhood. The population is approximately 4,264 residents. Approximately 75.0% of residents identify as Asian. The median household income is $178,417. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.","Neighborhood 6001441523 is an urban neighborhood. The population is approximately 4,264 residents. Approximately 75.0% of residents identify as Asian. The median household income is $178,417. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.",asian,asian
2628,6001437101,Oakland,high,"Neighborhood 6001437101 is an urban neighborhood. The population is approximately 7,960 residents. The largest racial group is Asian at 50.7%, with a notable Hispanic population at 27.4%. The median household income is $140,682. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001437101 is an urban neighborhood. The population is approximately 7,960 residents. The largest racial group is Asian at 50.7%, with a notable Hispanic population at 27.4%. The median household income is $140,682. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3654,6085504506,San Jose,high,"Neighborhood 6085504506 is an urban neighborhood. The population is approximately 6,609 residents. Approximately 78.3% of residents identify as Asian. The median household income is $152,898. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085504506 is an urban neighborhood. The population is approximately 6,609 residents. Approximately 78.3% of residents identify as Asian. The median household income is $152,898. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2587,6001403000,Oakland,low,"Neighborhood 6001403000 is an urban neighborhood. The population is approximately 2,897 residents. Approximately 76.7% of residents identify as Asian. The median household income is $32,077. The housing stock includes many vacant or abandoned properties. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001403000 is an urban neighborhood. The population is approximately 2,897 residents. Approximately 76.7% of residents identify as Asian. The median household income is $32,077. The housing stock includes many vacant or abandoned properties. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2606,6001437600,Oakland,upper_middle,"Neighborhood 6001437600 is an urban neighborhood. The population is approximately 3,455 residents. The neighborhood is racially diverse with no single majority group — Asian (39.5%), Hispanic (31.3%), White (17.7%). The median household income is $112,742. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001437600 is an urban neighborhood. The population is approximately 3,455 residents. The neighborhood is racially diverse with no single majority group — Asian (39.5%), Hispanic (31.3%), White (17.7%). The median household income is $112,742. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3615,6085503326,San Jose,high,"Neighborhood 6085503326 is an urban neighborhood. The population is approximately 7,172 residents. Approximately 69.0% of residents identify as Asian. The median household income is $189,612. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503326 is an urban neighborhood. The population is approximately 7,172 residents. Approximately 69.0% of residents identify as Asian. The median household income is $189,612. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2636,6001440331,Oakland,high,"Neighborhood 6001440331 is an urban neighborhood. The population is approximately 3,276 residents. The largest racial group is Asian at 59.9%, with a notable Hispanic population at 15.9%. The median household income is $128,929. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001440331 is an urban neighborhood. The population is approximately 3,276 residents. The largest racial group is Asian at 59.9%, with a notable Hispanic population at 15.9%. The median household income is $128,929. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3391,6073003209,San Diego,middle,"Neighborhood 6073003209 is an urban neighborhood. The population is approximately 5,382 residents. The neighborhood is racially diverse with no single majority group — Asian (38.2%), Hispanic (29.4%), White (26.7%). The median household income is $82,083. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6073003209 is an urban neighborhood. The population is approximately 5,382 residents. The neighborhood is racially diverse with no single majority group — Asian (38.2%), Hispanic (29.4%), White (26.7%). The median household income is $82,083. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2622,6001444304,Oakland,high,"Neighborhood 6001444304 is an urban neighborhood. The population is approximately 6,408 residents. The largest racial group is Asian at 51.6%, with a notable Hispanic population at 31.9%. The median household income is $189,750. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001444304 is an urban neighborhood. The population is approximately 6,408 residents. The largest racial group is Asian at 51.6%, with a notable Hispanic population at 31.9%. The median household income is $189,750. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3392,6073003114,San Diego,upper_middle,"Neighborhood 6073003114 is an urban neighborhood. The population is approximately 3,515 residents. The largest racial group is Asian at 53.9%, with a notable White population at 19.4%. The median household income is $105,454. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6073003114 is an urban neighborhood. The population is approximately 3,515 residents. The largest racial group is Asian at 53.9%, with a notable White population at 19.4%. The median household income is $105,454. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3590,6085503709,San Jose,lower_middle,"Neighborhood 6085503709 is an urban neighborhood. The population is approximately 6,178 residents. Approximately 61.3% of residents identify as Asian. The median household income is $59,926. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085503709 is an urban neighborhood. The population is approximately 6,178 residents. Approximately 61.3% of residents identify as Asian. The median household income is $59,926. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2385,36047010402,New York,low,"Neighborhood 36047010402 is an urban neighborhood. The population is approximately 2,131 residents. Approximately 81.5% of residents identify as Asian. The median household income is $31,645. The housing stock includes many vacant or abandoned properties. The area has many parks, schools, groceries, and local dining options.","Neighborhood 36047010402 is an urban neighborhood. The population is approximately 2,131 residents. Approximately 81.5% of residents identify as Asian. The median household income is $31,645. The housing stock includes many vacant or abandoned properties. The area has many parks, schools, groceries, and local dining options.",asian,asian
1409,6037482503,Los Angeles,middle,"Neighborhood 6037482503 is an urban neighborhood. The population is approximately 3,808 residents. Approximately 73.2% of residents identify as Asian. The median household income is $67,268. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037482503 is an urban neighborhood. The population is approximately 3,808 residents. Approximately 73.2% of residents identify as Asian. The median household income is $67,268. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2595,6001438000,Oakland,upper_middle,"Neighborhood 6001438000 is an urban neighborhood. The population is approximately 3,645 residents. The neighborhood is racially diverse with no single majority group — Asian (36.7%), White (25.0%), Hispanic (22.7%). The median household income is $110,481. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001438000 is an urban neighborhood. The population is approximately 3,645 residents. The neighborhood is racially diverse with no single majority group — Asian (36.7%), White (25.0%), Hispanic (22.7%). The median household income is $110,481. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
2646,6001442000,Oakland,high,"Neighborhood 6001442000 is an urban neighborhood. The population is approximately 2,979 residents. Approximately 67.6% of residents identify as Asian. The median household income is $189,821. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6001442000 is an urban neighborhood. The population is approximately 2,979 residents. Approximately 67.6% of residents identify as Asian. The median household income is $189,821. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1414,6037212702,Los Angeles,upper_middle,"Neighborhood 6037212702 is an urban neighborhood. The population is approximately 3,360 residents. The largest racial group is Asian at 49.0%, with a notable White population at 27.1%. The median household income is $94,940. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037212702 is an urban neighborhood. The population is approximately 3,360 residents. The largest racial group is Asian at 49.0%, with a notable White population at 27.1%. The median household income is $94,940. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
1404,6037481711,Los Angeles,lower_middle,"Neighborhood 6037481711 is an urban neighborhood. The population is approximately 4,609 residents. Approximately 88.3% of residents identify as Asian. The median household income is $54,688. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6037481711 is an urban neighborhood. The population is approximately 4,609 residents. Approximately 88.3% of residents identify as Asian. The median household income is $54,688. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
3639,6085507808,San Jose,high,"Neighborhood 6085507808 is an urban neighborhood. The population is approximately 5,811 residents. Approximately 75.1% of residents identify as Asian. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.","Neighborhood 6085507808 is an urban neighborhood. The population is approximately 5,811 residents. Approximately 75.1% of residents identify as Asian. The median household income is $250,001. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,asian
